source,length,rep,hvg_algorithm,time_in_seconds
fbm_0.20,131072,0,dual_tree_hvg,0.7673669259529561
fbm_0.20,131072,1,dual_tree_hvg,0.680193057982251
fbm_0.20,131072,2,dual_tree_hvg,0.8679527960484847
fbm_0.20,131072,3,dual_tree_hvg,0.9077151590026915
fbm_0.20,131072,4,dual_tree_hvg,0.8990481019718572
fbm_0.20,131072,5,dual_tree_hvg,1.0142204810399562
fbm_0.20,131072,6,dual_tree_hvg,1.0823777109617367
fbm_0.20,131072,7,dual_tree_hvg,1.0352132950210944
fbm_0.20,131072,8,dual_tree_hvg,0.7939922210061923
fbm_0.20,131072,9,dual_tree_hvg,0.7340257300529629
fbm_0.25,131072,0,dual_tree_hvg,1.0754812859231606
fbm_0.25,131072,1,dual_tree_hvg,1.2305000229971483
fbm_0.25,131072,2,dual_tree_hvg,1.0950086090015247
fbm_0.25,131072,3,dual_tree_hvg,1.0741126720095053
fbm_0.25,131072,4,dual_tree_hvg,1.1147035020403564
fbm_0.25,131072,5,dual_tree_hvg,1.0992336890194565
fbm_0.25,131072,6,dual_tree_hvg,1.1364341240841895
fbm_0.25,131072,7,dual_tree_hvg,1.2079237969592214
fbm_0.25,131072,8,dual_tree_hvg,1.2675044620409608
fbm_0.25,131072,9,dual_tree_hvg,0.8327496190322563
fbm_0.30,131072,0,dual_tree_hvg,1.3659311509691179
fbm_0.30,131072,1,dual_tree_hvg,0.973861726000905
fbm_0.30,131072,2,dual_tree_hvg,1.3064277240773663
fbm_0.30,131072,3,dual_tree_hvg,1.3939410370076075
fbm_0.30,131072,4,dual_tree_hvg,1.0681756699923426
fbm_0.30,131072,5,dual_tree_hvg,1.3827217860380188
fbm_0.30,131072,6,dual_tree_hvg,1.2789190240437165
fbm_0.30,131072,7,dual_tree_hvg,1.111351197003387
fbm_0.30,131072,8,dual_tree_hvg,1.5341787290526554
fbm_0.30,131072,9,dual_tree_hvg,1.4832352980738506
fbm_0.35,131072,0,dual_tree_hvg,1.3270729809300974
fbm_0.35,131072,1,dual_tree_hvg,1.625383764039725
fbm_0.35,131072,2,dual_tree_hvg,1.6516898680711165
fbm_0.35,131072,3,dual_tree_hvg,1.4571247149724513
fbm_0.35,131072,4,dual_tree_hvg,1.6252671799156815
fbm_0.35,131072,5,dual_tree_hvg,1.6011787879979238
fbm_0.35,131072,6,dual_tree_hvg,1.4499210369540378
fbm_0.35,131072,7,dual_tree_hvg,1.5426475870190188
fbm_0.35,131072,8,dual_tree_hvg,1.6703301990637556
fbm_0.35,131072,9,dual_tree_hvg,1.8110964170191437
fbm_0.40,131072,0,dual_tree_hvg,1.250994752976112
fbm_0.40,131072,1,dual_tree_hvg,1.697825810057111
fbm_0.40,131072,2,dual_tree_hvg,1.514644952956587
fbm_0.40,131072,3,dual_tree_hvg,1.6764966760529205
fbm_0.40,131072,4,dual_tree_hvg,1.420071262982674
