"computation_time","series_size","series_type","visibility","Method"
 0.00017,10.00000,"walk","hvg","bt"
0.00006,10.00000,"walk","hvg","linear"
0.00009,10.00000,"walk","hvg","bt"
0.00003,10.00000,"walk","hvg","linear"
0.00005,10.00000,"walk","hvg","bt"
0.00002,10.00000,"walk","hvg","linear"
0.00007,10.00000,"walk","hvg","bt"
0.00002,10.00000,"walk","hvg","linear"
0.00005,10.00000,"walk","hvg","bt"
0.00002,10.00000,"walk","hvg","linear"
0.00006,10.00000,"random","hvg","bt"
0.00003,10.00000,"random","hvg","linear"
0.00006,10.00000,"random","hvg","bt"
0.00003,10.00000,"random","hvg","linear"
0.00005,10.00000,"random","hvg","bt"
0.00003,10.00000,"random","hvg","linear"
0.00005,10.00000,"random","hvg","bt"
0.00003,10.00000,"random","hvg","linear"
0.00005,10.00000,"random","hvg","bt"
0.00003,10.00000,"random","hvg","linear"
0.00078,50.00000,"walk","hvg","bt"
0.00013,50.00000,"walk","hvg","linear"
0.00054,50.00000,"walk","hvg","bt"
0.00011,50.00000,"walk","hvg","linear"
0.00064,50.00000,"walk","hvg","bt"
0.00011,50.00000,"walk","hvg","linear"
0.00057,50.00000,"walk","hvg","bt"
0.00011,50.00000,"walk","hvg","linear"
0.00080,50.00000,"walk","hvg","bt"
0.00010,50.00000,"walk","hvg","linear"
0.00035,50.00000,"random","hvg","bt"
0.00024,50.00000,"random","hvg","linear"
0.00047,50.00000,"random","hvg","bt"
0.00015,50.00000,"random","hvg","linear"
0.00039,50.00000,"random","hvg","bt"
0.00013,50.00000,"random","hvg","linear"
0.00038,50.00000,"random","hvg","bt"
0.00012,50.00000,"random","hvg","linear"
0.00043,50.00000,"random","hvg","bt"
0.00013,50.00000,"random","hvg","linear"
0.00174,100.00000,"walk","hvg","bt"
0.00023,100.00000,"walk","hvg","linear"
0.00208,100.00000,"walk","hvg","bt"
0.00021,100.00000,"walk","hvg","linear"
0.00212,100.00000,"walk","hvg","bt"
0.00020,100.00000,"walk","hvg","linear"
0.00167,100.00000,"walk","hvg","bt"
0.00022,100.00000,"walk","hvg","linear"
0.00213,100.00000,"walk","hvg","bt"
0.00021,100.00000,"walk","hvg","linear"
0.00095,100.00000,"random","hvg","bt"
0.00028,100.00000,"random","hvg","linear"
0.00094,100.00000,"random","hvg","bt"
0.00026,100.00000,"random","hvg","linear"
0.00105,100.00000,"random","hvg","bt"
0.00027,100.00000,"random","hvg","linear"
0.00116,100.00000,"random","hvg","bt"
0.00026,100.00000,"random","hvg","linear"
0.00110,100.00000,"random","hvg","bt"
0.00026,100.00000,"random","hvg","linear"
0.02218,500.00000,"walk","hvg","bt"
0.00120,500.00000,"walk","hvg","linear"
0.01582,500.00000,"walk","hvg","bt"
0.00134,500.00000,"walk","hvg","linear"
0.02458,500.00000,"walk","hvg","bt"
0.00133,500.00000,"walk","hvg","linear"
0.02404,500.00000,"walk","hvg","bt"
0.00120,500.00000,"walk","hvg","linear"
0.02826,500.00000,"walk","hvg","bt"
0.00109,500.00000,"walk","hvg","linear"
0.01241,500.00000,"random","hvg","bt"
0.00182,500.00000,"random","hvg","linear"
0.01299,500.00000,"random","hvg","bt"
0.00137,500.00000,"random","hvg","linear"
0.00719,500.00000,"random","hvg","bt"
0.00376,500.00000,"random","hvg","linear"
0.00827,500.00000,"random","hvg","bt"
0.00133,500.00000,"random","hvg","linear"
0.00717,500.00000,"random","hvg","bt"
0.00141,500.00000,"random","hvg","linear"
0.08014,1000.00000,"walk","hvg","bt"
0.00235,1000.00000,"walk","hvg","linear"
0.06202,1000.00000,"walk","hvg","bt"
0.00319,1000.00000,"walk","hvg","linear"
0.05838,1000.00000,"walk","hvg","bt"
0.00238,1000.00000,"walk","hvg","linear"
0.05698,1000.00000,"walk","hvg","bt"
0.00220,1000.00000,"walk","hvg","linear"
0.04433,1000.00000,"walk","hvg","bt"
0.00217,1000.00000,"walk","hvg","linear"
0.01519,1000.00000,"random","hvg","bt"
0.00285,1000.00000,"random","hvg","linear"
0.01502,1000.00000,"random","hvg","bt"
0.00271,1000.00000,"random","hvg","linear"
0.01708,1000.00000,"random","hvg","bt"
0.00266,1000.00000,"random","hvg","linear"
0.01688,1000.00000,"random","hvg","bt"
0.00266,1000.00000,"random","hvg","linear"
0.01634,1000.00000,"random","hvg","bt"
0.00289,1000.00000,"random","hvg","linear"
0.74334,5000.00000,"walk","hvg","bt"
0.01908,5000.00000,"walk","hvg","linear"
0.42776,5000.00000,"walk","hvg","bt"
0.01571,5000.00000,"walk","hvg","linear"
0.69504,5000.00000,"walk","hvg","bt"
0.01279,5000.00000,"walk","hvg","linear"
0.54384,5000.00000,"walk","hvg","bt"
0.01341,5000.00000,"walk","hvg","linear"
0.62280,5000.00000,"walk","hvg","bt"
0.01271,5000.00000,"walk","hvg","linear"
0.10217,5000.00000,"random","hvg","bt"
0.01522,5000.00000,"random","hvg","linear"
0.10087,5000.00000,"random","hvg","bt"
0.01593,5000.00000,"random","hvg","linear"
0.10517,5000.00000,"random","hvg","bt"
0.01464,5000.00000,"random","hvg","linear"
0.10823,5000.00000,"random","hvg","bt"
0.02614,5000.00000,"random","hvg","linear"
0.12001,5000.00000,"random","hvg","bt"
0.01628,5000.00000,"random","hvg","linear"
1.95426,10000.00000,"walk","hvg","bt"
0.03874,10000.00000,"walk","hvg","linear"
2.94160,10000.00000,"walk","hvg","bt"
0.02518,10000.00000,"walk","hvg","linear"
2.63011,10000.00000,"walk","hvg","bt"
0.02430,10000.00000,"walk","hvg","linear"
2.00129,10000.00000,"walk","hvg","bt"
0.02384,10000.00000,"walk","hvg","linear"
3.35363,10000.00000,"walk","hvg","bt"
0.02363,10000.00000,"walk","hvg","linear"
0.24232,10000.00000,"random","hvg","bt"
0.03099,10000.00000,"random","hvg","linear"
0.25936,10000.00000,"random","hvg","bt"
0.03552,10000.00000,"random","hvg","linear"
0.25919,10000.00000,"random","hvg","bt"
0.03286,10000.00000,"random","hvg","linear"
0.24461,10000.00000,"random","hvg","bt"
0.04422,10000.00000,"random","hvg","linear"
0.25813,10000.00000,"random","hvg","bt"
0.03877,10000.00000,"random","hvg","linear"
18.27258,50000.00000,"walk","hvg","bt"
0.16386,50000.00000,"walk","hvg","linear"
31.49794,50000.00000,"walk","hvg","bt"
0.17463,50000.00000,"walk","hvg","linear"
32.70018,50000.00000,"walk","hvg","bt"
0.20831,50000.00000,"walk","hvg","linear"
19.16082,50000.00000,"walk","hvg","bt"
0.17390,50000.00000,"walk","hvg","linear"
27.31258,50000.00000,"walk","hvg","bt"
0.14148,50000.00000,"walk","hvg","linear"
1.49424,50000.00000,"random","hvg","bt"
0.22255,50000.00000,"random","hvg","linear"
1.46678,50000.00000,"random","hvg","bt"
0.20032,50000.00000,"random","hvg","linear"
1.51776,50000.00000,"random","hvg","bt"
0.20013,50000.00000,"random","hvg","linear"
1.47021,50000.00000,"random","hvg","bt"
0.19817,50000.00000,"random","hvg","linear"
1.43147,50000.00000,"random","hvg","bt"
0.20990,50000.00000,"random","hvg","linear"
63.78045,100000.00000,"walk","hvg","bt"
0.26494,100000.00000,"walk","hvg","linear"
57.09411,100000.00000,"walk","hvg","bt"
0.30115,100000.00000,"walk","hvg","linear"
68.40415,100000.00000,"walk","hvg","bt"
0.33843,100000.00000,"walk","hvg","linear"
88.99002,100000.00000,"walk","hvg","bt"
0.34583,100000.00000,"walk","hvg","linear"
95.11439,100000.00000,"walk","hvg","bt"
0.30403,100000.00000,"walk","hvg","linear"
3.26693,100000.00000,"random","hvg","bt"
0.47149,100000.00000,"random","hvg","linear"
3.85538,100000.00000,"random","hvg","bt"
0.49211,100000.00000,"random","hvg","linear"
